pais,porcentaje_mujeres_alta
Afghanistan,26.47
Algeria,6.99
Antigua and Barbuda,52.94
Argentina,41.67
Australia,40.79
Austria,31.15
Bahamas,43.75
Bahrain,22.5
Barbados,38.1
Belarus,30.36
Belgium,50
Belize,15.38
Bhutan,16
Bolivia,47.22
Bosnia and Herzegovina,13.33
Brazil,14.81
Burundi,46.15
Cambodia,17.74
Cameroon,26
Canada,45.74
Chile,23.26
Colombia,20.37
Congo,19.72
Côte d'Ivoire,12.12
Czech Republic,18.75
Democratic Republic of the Congo,4.63
Dominican Republic,9.38
Equatorial Guinea,15.28
Eswatini,23.33
Ethiopia,32.03
France,29.31
Gabon,17.65
Germany,39.13
Grenada,30.77
Haiti,3.57
India,11.39
Ireland,30
Italy,35.31
Jamaica,23.81
Japan,20.66
Jordan,15.38
Kazakhstan,10.64
Kenya,30.88
Lesotho,25
Liberia,10
Madagascar,20.63
Malaysia,22.06
Mexico,36.72
Morocco,11.67
Myanmar,10.41
Namibia,23.81
Nepal,37.29
Netherlands,34.67
Nigeria,6.48
Oman,16.47
Pakistan,19.23
Palau,15.38
Paraguay,17.78
Philippines,25
Poland,14
Romania,13.97
Russian Federation,17.06
Rwanda,38.46
Saint Lucia,27.27
Slovenia,10
Somalia,24.07
South Africa,35.19
South Sudan,12
Spain,37.97
Sudan,35.19
Switzerland,15.22
Tajikistan,21.88
Trinidad and Tobago,29.03
United Kingdom,26.3
United States of America,23
Uruguay,29.03
Uzbekistan,17
Yemen,1.8
Zimbabwe,43.75
