pais,porcentaje_mujeres_unibaja
Afghanistan,27.71
Albania,27.86
Algeria,25.76
Andorra,32.14
Angola,30.45
Antigua and Barbuda,11.11
Argentina,38.91
Armenia,18.1
Australia,28.67
Austria,34.43
Azerbaijan,16.8
Bahamas,12.82
Bahrain,7.5
Bangladesh,20.29
Barbados,20
Belarus,34.55
Belgium,38
Belize,9.38
Benin,7.23
Bhutan,14.89
Bolivia,53.08
Bosnia and Herzegovina,21.43
Botswana,9.52
Brazil,15.01
Brunei Darussalam,9.09
Bulgaria,23.75
Burkina Faso,11.02
Burundi,36.36
Cabo Verde,23.61
Cambodia,20
Cameroon,31.11
Canada,27
Central African Republic,8.57
Chad,15.25
Chile,22.58
China,24.9
Colombia,18.13
Comoros,6.06
Congo,11.26
Costa Rica,45.61
Côte d'Ivoire,10.59
Croatia,18.54
Cuba,53.22
Cyprus,17.86
Czech Republic,22
Democratic People's Republic of Korea,16.3
Democratic Republic of the Congo,8.94
Denmark,37.43
Djibouti,26.15
Dominica,25
Dominican Republic,26.84
Ecuador,37.96
Egypt,14.93
El Salvador,30.95
Equatorial Guinea,20
Eritrea,22
Estonia,26.73
Eswatini,7.25
Ethiopia,38.76
Fiji,16
Finland,42
France,39.58
Gabon,17.09
Gambia (The),10.34
Georgia,16
Germany,30.75
Ghana,12.73
Greece,18.67
Grenada,46.67
Guatemala,12.66
Guinea,21.93
Guinea-Bissau,13.73
Guyana,31.88
Haiti,2.54
Honduras,21.09
Hungary,12.56
Iceland,38.1
India,11.81
Indonesia,19.82
Iran (Islamic Republic of),5.88
Iraq,25.53
Ireland,22.15
Israel,27.5
Italy,35.71
Jamaica,17.46
Japan,10.11
Jordan,15.38
Kazakhstan,27.1
Kenya,21.78
Kiribati,6.52
Kuwait,3.08
Kyrgyzstan,19.17
Lao People's Democratic Republic,27.52
Latvia,31
Lebanon,4.69
Lesotho,22.13
Liberia,12.33
Libya,15.96
Liechtenstein,12
Lithuania,21.28
Luxembourg,20
Madagascar,19.21
Malawi,16.67
Malaysia,13.96
Maldives,5.88
Mali,8.84
Malta,11.94
Marshall Islands,9.09
Mauritania,20.26
Mauritius,11.59
Mexico,48.2
Micronesia,0
Monaco,33.33
Mongolia,17.11
Montenegro,23.46
Morocco,20.51
Mozambique,39.6
Myanmar,10.16
Namibia,46.15
Nauru,10.53
Nepal,32.73
Netherlands,36
New Zealand,38.33
Nicaragua,45.65
Niger,16.96
Nigeria,5.56
Norway,41.42
Oman,1.18
Pakistan,20.61
Palau,12.5
Panama,18.31
Papua New Guinea,0
Paraguay,15
Peru,27.69
Philippines,29.45
Poland,28.04
Portugal,34.78
Qatar,9.76
Republic of Korea,17
Republic of Moldova,22.77
Russian Federation,15.78
Rwanda,61.25
Saint Kitts and Nevis,13.33
Saint Lucia,16.67
Saint Vincent and the Grenadines,13.04
Samoa,10
San Marino,26.67
Sao Tome and Principe,18.18
Saudi Arabia,19.87
Senegal,41.82
Serbia,34.4
Seychelles,21.21
Sierra Leone,12.33
Singapore,23
Slovakia,20
Slovenia,24.44
Solomon Islands,2.04
Somalia,24.36
South Africa,42.42
South Sudan,28.46
Spain,39.14
Sri Lanka,5.78
Sudan,30.52
Suriname,25.49
Sweden,46.13
Switzerland,32.5
Syrian Arab Republic,13.2
Tajikistan,19.05
Thailand,5.28
The former Yugoslav Republic of Macedonia,38.33
Timor-Leste,33.85
Togo,17.58
Tonga,7.41
Trinidad and Tobago,30.95
Tunisia,31.34
Turkey,17.45
Turkmenistan,24.8
Tuvalu,6.67
Uganda,34.3
Ukraine,12.29
United Arab Emirates,22.5
United Kingdom,32.15
United Republic of Tanzania,37.18
United States of America,19.63
Uruguay,20.2
Uzbekistan,16
Vanuatu,0
Venezuela,22.16
Viet Nam,26.72
Yemen,0
Zambia,17.96
Zimbabwe,31.48
